,Unnamed: 0,Distance,Mass,Radius
0,0,0.000015813,1,1
1,1,0008.6,2.1,1.71´
2,2,0310,15,71
3,3,0004.4,1.1,1.2
4,4,0037,1.1,26
5,5,0025,2.2,2.7
6,6,0043,2.6,12
7,7,0860,23,78.9
8,8,0011.4,1.5,1.9
9,9,0640[1],20,950
10,10,0144,6.7,9.3
11,11,0390,10.5,8.6
12,12,0017,1.8,1.8
13,13,0320,18,8.9
14,14,0065,1.5,44
15,15,0600,12,680
16,16,0260,11.43,7.47
17,17,0034,1.9,8.8
18,18,0025,1.9,1.8
19,19,"2,600",19,203
20,20,0350,16,8.4
21,21,0077,3.8,3.1
22,22,0430,12.5,14
23,23,0700,14.5,8.8
24,24,0052,2.8,2.4
25,25,0088,1.5,84
26,26,0240,8.6,5.8
27,27,0130,5.0,4.2
28,28,0110,3.5,6.8
29,29,"2,000",32,42
30,30,"01,100",9.0,6
31,31,0101,4.0,3.4
32,32,0081,2.9,4.2
33,33,01050,33,20
34,34,0120,4.25,30
35,35,0590,8.5,68
36,36,"1,600",17,200
37,37,0270,5.7,26
38,38,0140,3.5,6.8
39,39,0630,9.0,130
40,40,0104,6.1,3.4
41,41,081,2.39,2.77
42,42,0390,7,92
43,43,0109,2.8,3.3
44,44,0180,5.9,4.8
45,45,0080,2.4,2.9
46,46,0500,13.5,10
47,47,0430,5.4,39
48,48,0180,3.0,50
49,49,0196,2.1,95
50,50,0653,15,140
51,51,0360,2.8,280
52,52,011.9,0.783,0.893
53,53,019.92,0.991,1.22
54,54,010.48,0.82,0.74
55,55,"08,900",20,485
56,56,"07,500",100,60–881
57,57,0887,4.5,44.5
58,58,"06,000",19.2,972
59,59,044.25,1.27,1.48
60,60,"08,154",22,636-981
61,61,"05,545",30,76
62,62,"01,000",,129 - 342
63,63,"04,900",18.2,"516 - 1,050"
64,64,011.41,0.7,0.665
65,65,0178,0.7 - 1.0,298
66,66,0281,1.59,3.74
67,67,"04,566",0.85,85
68,68,036.1,0.76,0.94
69,69,0300,1.2,370
70,70,"014,000",13.9,"1,158"
71,71,012.87,0.6,0.51
72,72,"019,896",?,380 - 750
73,73,0190,?,1.4
74,74,0130,0.8,3.4
75,75,"03,900",17,"1,420"
76,76,"025,000",100,320
77,77,"0169,000",24,380
78,78,"05,100",7–10,755
79,79,05.98,0.14,0.20
80,80,06.52,0.04,?
81,81,04.25,0.12,0.15
82,82,"01,470",1.43,1.58
83,83,"0163,000",290,32
84,84,"0163,000",189,21.1
85,85,"018,134",19,0.39
86,86,"0164,000",57.48,14.47
87,87,"02,772",1.01,0.99
88,88,047.5,0.16,0.21
89,89,"05,251",50,"1,640 - 2,770"
90,90,018.72,0.075,0.10
91,91,"0163,000",<20,"1,540 - 1,730"
92,92,039.6,0.089,0.12
93,93,040.3,0.07,0.086
94,94,07.27,0.003,?
95,95,"014,400,000,000",33,?
96,0,46.1,0.045820224,0.10173536999999999
97,1,192.0,0.018137172,0.16750368999999998
98,2,37.7,0.075412452,0.11201167000000001
99,3,236.0,0.029592228,0.14797871999999998
100,4,87.2,0.051547752,0.10070773999999999
101,5,131.0,0.027683052,0.14695108999999998
102,6,31.0,0.040092696000000004,0.09659721999999998
103,7,28.6,0.040092696000000004,0.09659721999999998
104,8,57.0,0.021955524,0.16647606
105,9,40.0,0.011455056,0.13359189999999999
106,10,34.0,0.03818352,0.09659721999999998
107,11,96.0,0.027683052,0.14695108999999998
108,12,70.0,0.049638576000000004,0.10070773999999999
109,13,51.0,0.049638576000000004,0.10070773999999999
110,14,163.0,0.01909176,0.16647606
111,15,130.0,0.01909176,0.16544843
112,16,70.0,0.044865636,0.09968010999999999
113,17,111.0,0.044865636,0.09968010999999999
114,18,101.0,0.014318820000000001,0.15722739
115,19,155.0,0.01909176,0.16647606
116,20,152.0,0.025773876,0.14489582999999998
117,21,35.0,0.031501404000000004,0.10173536999999999
118,22,53.0,0.074457864,0.11098404
119,23,12.578,0.07636704,0.13050900999999998
120,24,184.0,0.06204822,0.19524969999999997
121,25,24.0,0.06204822,0.19524969999999997
122,26,16.2,0.07636704,0.09968010999999999
123,27,45.0,0.046774812,0.09968010999999999
124,28,47.0,0.084003744,0.11817744999999999
125,29,192.0,0.021955524,0.17058658
126,30,59.0,0.04295646,0.09762484999999999
127,31,80.0,0.017182584,0.13359189999999999
128,32,98.0,0.051547752,0.10070773999999999
129,33,27.0,0.069684924,0.10687352
130,34,20.9,0.069684924,0.14695108999999998
131,35,88.0,0.070639512,0.10790115
132,36,380.0,0.05250234,0.38844413999999994
133,37,48.0,0.09736797600000001,0.13050900999999998
134,38,29.8,0.01909176,0.13564716
135,39,18.6,0.028637640000000002,0.09762484999999999
136,40,85.0,0.07636704,0.11201167000000001
137,41,34.0,0.0954588,0.12948137999999998
138,42,142.0,0.037228932,0.20244310999999998
139,43,29.5,0.045820224,0.09968010999999999
140,44,82.0,0.021000936,0.18291813999999998
141,45,42.0,0.061093632,0.102763
142,46,69.0,0.00099277152,7.398935999999999
143,47,44.0,0.061093632,0.102763
144,48,64.0,0.020046348000000002,0.14181293999999997
145,49,73.0,0.044865636,0.09968010999999999
146,50,40.0,0.064911984,0.10379063
147,51,41.62,0.058229868000000004,0.10379063
148,52,34.6,0.026728464,0.14489582999999998
149,53,102.0,0.036274344,0.15517213
150,54,39.0,0.053456928,0.10173536999999999
151,55,65.0,0.063957396,0.10379063
152,56,51.0,0.07159410000000001,0.10790115
153,57,60.0,0.068730336,0.10584589
154,58,13.4,0.024819288000000002,0.10070773999999999
155,59,29.6,0.039138108,0.09659721999999998
156,60,25.8,0.035319756,0.09659721999999998
157,61,49.0,0.041047284,0.09659721999999998
158,62,55.0,0.067775748,0.10584589
159,63,60.0,0.00191872188,6.987883999999999
160,64,16.1,0.042001872,0.09659721999999998
161,65,35.0,0.049638576000000004,0.10070773999999999
162,66,43.0,0.045820224,0.10173536999999999
163,67,55.0,0.084003744,0.11817744999999999
164,68,77.0,0.043911048,0.09865247999999999
165,69,23.53,0.059184456,0.102763
166,70,43.0,0.061093632,0.102763
167,71,27.6,0.073503276,0.10995641
168,72,50.0,0.0477294,0.10070773999999999
169,73,20.0,0.040092696000000004,0.09659721999999998
170,74,17.4,0.030546816,0.09762484999999999
171,75,59.0,0.046774812,0.09865247999999999
172,76,46.0,0.042001872,0.09659721999999998
173,77,55.0,0.048683988000000004,0.10070773999999999
174,78,60.0,0.025773876,0.14489582999999998
175,79,53.0,0.046774812,0.09968010999999999
176,80,34.4,0.040092696000000004,0.09659721999999998
177,81,13.15,0.073503276,0.10995641
178,82,6.516,0.041047284,0.10481826
179,83,6.516,0.03818352,0.10379063
180,84,49.0,0.061093632,0.102763
181,85,180.0,0.034365168,0.24560357
182,86,163.0,0.007636704,0.18497339999999998
183,87,63.0,0.008591292,0.12742612
184,88,18.2,0.031501404000000004,0.09865247999999999
185,89,137.0,0.028637640000000002,0.2260786
186,90,129.0,0.035319756,0.1541445
187,91,31.0,0.061093632,0.102763
188,92,217.0,0.016227996,0.17572473
189,93,36.0,0.040092696000000004,0.09659721999999998
190,94,45.6,0.039138108,0.09659721999999998
191,95,262.0,0.001909176,2.5690749999999998
192,96,38.0,0.044865636,0.10070773999999999
193,97,61.0,0.060139044,0.10070773999999999
194,98,61.0,0.055366104,0.10070773999999999
195,99,101.0,0.063957396,0.10379063
